genotype	CD45
APOE2	2625.96324
APOE2	1576.718629
APOE2	2071.721854
APOE2	1999.602662
APOE2	1981.248665
APOE2	2264.933921
APOE2	2394.155669
APOE2	1437.791402
APOE2	1905.32105
APOE2	366.92116
APOE3	3392.476667
APOE3	817.3713227
APOE3	1816.184445
APOE3	1938.879969
APOE3	2062.0539
APOE3	351.6860106
APOE3	3227.995615
APOE3	1576.721694
APOE3	570.5567833
APOE4	1572.173779
APOE4	2509.700025
APOE4	2277.40928
APOE4	1800.223155
APOE4	939.0444917
APOE4	2282.896955
APOE4	1601.898011