genotype	area_N1	fraction_CD45
APOE2	0.098864237	23.21951044
APOE2	0.085481008	20.20797934
APOE3	0.040022532	25.6671804
APOE3	0.033219655	20.63911333
APOE4	0.347836812	22.49734095
APOE4	0.048001607	18.44043171
APOE2	0.178019206	20.66162019
APOE2	0.179513295	25.66972856
APOE3	0.059350332	19.57828963
APOE3	0.091616313	28.1017426
APOE4	0.073623657	16.12506518
APOE4	0.07314682	17.84644047
APOE2	0.283273061	29.00970943
APOE2	0.25285085	20.47680398
APOE3	0.062561035	18.71213064
APOE3	0.136375427	19.47494247
APOE4	0.176461538	29.18012554
APOE4	0.153605143	32.30659221
APOE2	0.110530853	25.03357639
APOE2	0.192483266	22.57916008
APOE3	0.154685974	27.5263032
APOE3	0.084050496	21.47779683
APOE3	0.108877818	20.1514768
APOE3	0.053024292	22.3379241
APOE4	0.153414408	22.89972041
APOE4	0.113932292	21.06315714
APOE2	0.160185496	24.71468067
APOE3	0.041103363	23.27959333
APOE3	0.11177063	28.58042496
APOE3	0.069268545	30.57973587
APOE3	0.089327494	23.83241087
APOE4	0.193945567	21.52776067
APOE4	0.189177195	18.41106754
APOE2	0.169849396	18.7298055
APOE3	0.020122528	15.71516984