genotype	ct_norm
APOE2	1.202652893
APOE2	1.370917965
APOE3	2.073578031
APOE3	0.709799221
APOE4	1.337499841
APOE4	1.557309262
APOE4	1.323067384
APOE2	0.913991613
APOE2	2.905487876
APOE3	0.833402634
APOE3	0.660961735
APOE4	2.037393377
APOE4	0.844920309
APOE4	0.466126963
APOE3	0.722258379
APOE4	1.532209618
APOE4	6.290532954
APOE2	2.206590743
APOE3	0.142759586
APOE4	0.504913536
APOE4	0.707709351
APOE4	0.460583811
APOE2	2.053076006
APOE3	4.63003446
APOE4	2.533576926
APOE4	1.579145909
APOE4	0.46262166
APOE3	1.138601645
APOE4	1.072993794
APOE2	0.597724746
APOE2	1.64716664
APOE2	0.921519343
APOE3	0.367977572
APOE4	1.391659935
APOE2	0.650564784
APOE2	0.782595144
APOE3	1.333939175
APOE4	1.333100863
APOE2	5.906631336
APOE3	0.660383876
APOE3	1.330979233
APOE4	2.011953517
APOE2	6.275769094
APOE3	0.396834894
APOE3	0.436067492
APOE2	0.419572408
APOE3	1.959498317
APOE3	0.351086349
APOE3	0.283755406
APOE2	3.701499314
APOE3	1.096895273
APOE3	0.366830267
APOE3	0.504356453